company,description,archetype,industry,link
"Siemens (Industrial Copilot - General)","Developing the Siemens Industrial Copilot, a suite of generative AI-powered assistants to enhance productivity across the industrial value chain, from design and planning to engineering, operations, and services. For example, assisting engineering teams in generating PLC code using natural language.",Employee,Manufacturing,https://press.siemens.com/global/en/pressrelease/siemens-expands-industrial-copilot-new-generative-ai-powered-maintenance-offering
"Siemens (Industrial Copilot for Maintenance)","Extending its Industrial Copilot offering with advanced capabilities for Senseye Predictive Maintenance. This GenAI-powered solution supports the entire maintenance cycle, from repair and prevention to prediction and optimization, aiming to reduce reactive maintenance time by an average of 25%.",Employee,Manufacturing,https://www.siemens.com/global/en/products/services/digital-enterprise-services/plant-data-services/senseye-predictive-maintenance.html
"Siemens (Teamcenter Digital Reality Viewer)","Integration of NVIDIA Omniverse into Teamcenter PLM software to create the Teamcenter Digital Reality Viewer, enabling high-performance, photorealistic, physics-based visualization and interaction with complex digital twins of products and manufacturing environments.",Creative,Manufacturing,https://blogs.sw.siemens.com/teamcenter/teamcenter-digital-reality-viewer-with-nvidia-omniverse/
"General Electric (GE Vernova - Digital Twin Technology)","Pioneer in digital twin technology, utilizing solutions like SmartSignal (AI/ML predictive analytics for asset twins in energy), Geo Network Management (Grid Digital Twins), and Proficy CSense (Process Digital Twins for manufacturing optimization).",Data,Manufacturing,https://www.gevernova.com/software/innovation/digital-twin-technology
"GE Vernova (CERius Emissions Management)","Offers CERius, an AI-powered carbon emissions management software designed to help energy industries measure, manage, and operationalize insights to reduce carbon emissions, improving GHG calculation accuracy using digital twin technology and machine learning.",Data,Manufacturing,https://www.gevernova.com/software/products/emission-data-management/cerius
"GE Vernova (GridBeats™)","A portfolio of software-defined automation solutions for grid digitalization, enhancing grid resilience and reliability with AI/ML-based automation, predictive maintenance (GridBeats™ APM), and improved visibility across the grid.",Data,Manufacturing,https://www.gevernova.com/grid-solutions/gridbeats
"GE Aerospace (AI-Driven Inspection)","Deployed an AI-enabled Blade Inspection Tool for narrowbody aircraft engines (CFM LEAP) and widebody engines (GEnx). The tool uses AI to guide technicians in reviewing turbine blade images, improving inspection accuracy and consistency, and cutting inspection times by half.",Employee,Manufacturing,https://www.geaerospace.com/news/press-releases/ge-aerospace-deploys-ai-driven-inspection-tool-maximize-narrowbody-engine-time-wing
"GE Aerospace (Generative Design & Additive Manufacturing)","Utilizing generative design and additive manufacturing (3D printing) for aerospace components, such as a one-meter-diameter turbine center frame casing made from nickel alloy 718, achieving 30% cost and weight reduction and consolidating over 150 parts into one.",Creative,Manufacturing,https://www.geaerospace.com/news/articles/manufacturing-product/turn-larger-lighter-additive-parts
"GE Aerospace (Supplier Collaboration & Lean Manufacturing)","Working with suppliers (e.g., a Pennsylvania-based airfoil component maker for LEAP engines) to implement its FLIGHT DECK lean operating model, leveraging data and process analysis (implicitly supported by AI tools for efficiency) to solve production bottlenecks and improve parts delivery.",Employee,Manufacturing,https://www.geaerospace.com/news/articles/how-ge-aerospace-lean-leader-worked-supplier-solve-baffling-problem
"GE Aerospace (Open Fan Engine Design Simulation)","Collaborating with Boeing, NASA, and Oak Ridge National Laboratory to use exascale supercomputing (Aurora and Frontier) to model and simulate the integration and aerodynamic performance of an Open Fan engine design with an airplane wing.",Customer,Manufacturing,https://www.geaerospace.com/news/press-releases/ge-aerospace-boeing-and-nasa-study-performance-installed-open-fan-engine-design
"Intel (Tiber Developer Cloud)","Provides the Tiber Developer Cloud, a platform offering access to Intel hardware (CPUs, GPUs, Gaudi AI accelerators) and software tools (oneAPI, optimized frameworks) for developers and enterprises to build, test, train, optimize, and deploy AI/ML workloads, including generative AI.",Code,Manufacturing,https://ai.cloud.intel.com/
"Intel (Gaudi AI Accelerators)","Produces Gaudi AI accelerators (Gaudi 2, Gaudi 3) specifically optimized for large-scale generative AI training and inference, offering competitive price/performance. Deployed by partners like IBM Cloud, Dell, and H3C for enterprise AI solutions.",Customer,Manufacturing,https://www.intel.com/content/www/us/en/products/details/processors/gaudi.html
"Intel (GenAI Use Case Enablement)","Intel's processors and AI chips (Xeon, Core Ultra, Gaudi) are foundational for various GenAI applications including Large Language Models (LLMs), autonomous vehicles, edge computing, robotics, High-Performance Computing (HPC), and client computing AI experiences.",Data,Manufacturing,https://www.intel.com/content/www/us/en/artificial-intelligence/overview.html
"Fortanix (Armet AI with Intel)","Armet AI platform, built on Intel Confidential Computing (SGX, TDX) and Intel Tiber Trust Authority, enables enterprises to create secure and compliant custom GenAI applications by protecting data in use within hardware-based trusted execution environments (TEEs).",Security,Manufacturing,https://www.fortanix.com/platform/confidential-ai
"AMD (ROCm Software Stack)","Provides the ROCm open software stack, including drivers, development tools, libraries (MIOpen, MIVisionX), and APIs, to enable GPU programming for AI and HPC workloads, supporting frameworks like PyTorch and TensorFlow for generative AI model development.",Code,Manufacturing,https://www.amd.com/en/products/software/rocm.html
"AMD (Instinct Accelerators)","Offers Instinct GPU accelerators (e.g., MI300X, MI325X) designed for data center AI workloads, including training and inference for Generative AI LLMs, video analytics, and recommendation engines, demonstrating competitive performance on models like Llama 2, Llama 3.1, and Stable Diffusion XL.",Customer,Manufacturing,https://www.amd.com/en/products/server-accelerators/instinct.html
"AMD (Ryzen AI)","Delivers Ryzen AI technology in its processors for laptops, desktops, and mobile workstations, enabling on-device AI capabilities that improve business productivity, collaboration, creativity, and security features.",Customer,Manufacturing,https://www.amd.com/en/technologies/ryzen-ai
"NVIDIA (Omniverse Platform)","An open platform for developing Universal Scene Description (OpenUSD)-based 3D workflows and applications, enabling the creation of photorealistic digital twins, synthetic data generation for AI training, virtual factory simulations, and collaborative design in industrial and robotic use cases.",Creative,Manufacturing,https://www.nvidia.com/en-us/omniverse/
"NVIDIA (Isaac for Healthcare & Robotics)","NVIDIA Isaac for Healthcare is a medical device simulation platform with pretrained models and physics-based simulations for developing autonomous imaging systems (e.g., with GE HealthCare) and robotics. Isaac Sim is used more broadly for robotics simulation.",Data,Manufacturing,https://developer.nvidia.com/isaac-robotics
"NVIDIA (NeMo Framework)","A scalable and cloud-native generative AI framework for researchers and developers working on Large Language Models (LLMs), Multimodal Models, and Speech AI (ASR, TTS), providing tools for data curation (NeMo Curator), customization (NeMo Customizer), evaluation (NeMo Evaluator), RAG (NeMo Retriever), and safety (NeMo Guardrails).",Code,Manufacturing,https://www.nvidia.com/en-us/ai-data-science/products/nemo/
"NVIDIA (Riva Speech AI)","An SDK for building fully customizable, real-time multilingual speech and translation AI applications. Used for virtual assistants, contact centers, transcription services, and creating custom voices for various enterprise applications.",Customer,Manufacturing,https://developer.nvidia.com/riva
"NVIDIA (DGX Cloud & AI Enterprise)","DGX Cloud provides a unified AI supercomputing platform on leading clouds for demanding AI workloads like LLM training and inference. NVIDIA AI Enterprise is a software suite optimizing AI development and deployment for enterprises.",Data,Manufacturing,https://www.nvidia.com/en-us/data-center/dgx-cloud/
"Qualcomm (AI Hub & Snapdragon Platforms)","Qualcomm AI Hub provides a library of pre-optimized AI models and tools for deploying AI (including generative AI for text, image, audio) efficiently on edge devices powered by Snapdragon and other Qualcomm platforms, enabling on-device inference for mobile, compute, automotive, and IoT.",Code,Manufacturing,https://aihub.qualcomm.com/
"Qualcomm (Snapdragon Ride & Automotive AI)","The Snapdragon Ride Platform and other automotive solutions leverage AI for advanced driver-assistance systems (ADAS), in-cabin monitoring, generative AI for simulated driving scenarios, and personalized in-car experiences.",Customer,Manufacturing,https://www.qualcomm.com/products/automotive
"Qualcomm (Cloud AI SDK & Accelerators)","Offers Cloud AI 100 accelerators and associated SDKs for high-performance, power-efficient inference in cloud data centers, supporting generative AI LLMs, NLP, and computer vision workloads.",Customer,Manufacturing,https://developer.qualcomm.com/software/cloud-ai-sdk
"Articul8 AI (Intel Spinoff)","An enterprise GenAI platform with products (A8 Essential, Enterprise, Expert) and tools (DataSculptr™, DataCraftr™, DataRel8r™) for building sophisticated, domain-specific AI applications using proprietary enterprise data, engineered for regulated industries.",Data,Manufacturing,https://articul8.ai/
"KUKA (with Empolis Buddy)","Global automation solutions provider using Empolis Buddy, a generative AI virtual assistant (built on AWS Bedrock), to provide customers and employees with quick access to product information, troubleshooting guides, and technical documentation from extensive manuals.",Customer,Manufacturing,https://www.kuka.com/en-de/company/press/news
"Hitachi","Applying generative AI within its Lumada IoT platform to provide predictive maintenance for industrial equipment, optimize manufacturing schedules, and generate insights from operational data across various industrial sectors.",Data,Manufacturing,https://www.hitachi.com/rev/index.html
"Amazon","Powered personalized product recommendations engine 'Your Amazon.com' using generative AI to analyze customer browsing history, purchase patterns, and preferences to generate highly targeted product suggestions across all platforms.",Customer,Retail,https://www.amazon.com/gp/yourstore
"Shopify","Launched Shopify Magic, an AI-powered suite of tools for merchants including automated product descriptions, blog posts, email campaigns, and image enhancement to help small businesses compete with larger retailers.",Customer,Retail,https://www.shopify.com/magic
"Walmart","Implemented AI-powered inventory optimization system that predicts demand patterns, automates restocking decisions, and generates supply chain insights to reduce waste and improve product availability across 10,500+ stores.",Employee,Retail,https://corporate.walmart.com/newsroom/innovation
"Target","Deployed generative AI for personalized marketing campaigns, creating customized email content, product recommendations, and promotional offers based on individual customer shopping behavior and seasonal trends.",Customer,Retail,https://corporate.target.com/news-features/article/2024/10/target-ai-guest-experience
"Sephora","Enhanced Virtual Artist app with generative AI to create personalized makeup looks, generate beauty tutorials, and provide AI-powered color matching recommendations based on skin tone analysis.",Customer,Retail,https://www.sephora.com/beauty/how-to-use-virtual-artist
"Home Depot","Launched AI-powered project assistant that generates step-by-step DIY guides, creates shopping lists for home improvement projects, and provides personalized tool recommendations based on project complexity.",Customer,Retail,https://www.homedepot.com/c/ai_assisted_shopping
"Best Buy","Implemented generative AI chatbot for technical support and product recommendations, capable of troubleshooting electronics issues, comparing products, and generating personalized tech setup guides.",Customer,Retail,https://www.bestbuy.com/site/customer-service/contact-us/pcmcat1511375025410.c
"Zara","Utilizing AI for fast fashion trend prediction and design generation, analyzing social media trends, runway shows, and customer preferences to create new clothing designs and optimize inventory distribution.",Creative,Retail,https://www.inditex.com/itxcomweb/en/sustainability/innovation
"Nike","Deployed Nike Fit technology with AI-powered size recommendations, and generative AI for creating personalized workout plans and custom shoe design suggestions through the Nike app ecosystem.",Customer,Retail,https://www.nike.com/help/a/nike-fit
"Adidas","Implemented AI-driven product customization platform allowing customers to generate unique shoe designs, with AI analyzing performance data to suggest optimal configurations for different sports and activities.",Customer,Retail,https://www.adidas.com/us/mi-adidas
"IKEA","Enhanced IKEA Place AR app with generative AI to automatically suggest room layouts, generate assembly instructions in multiple languages, and create personalized home design recommendations.",Customer,Retail,https://www.ikea.com/us/en/customer-service/mobile-apps
"Wayfair","Leveraging generative AI to create photorealistic room visualizations, generate product descriptions from specifications, and provide AI-powered interior design consultations through their mobile app.",Customer,Retail,https://www.wayfair.com/v/room_planner
"Macy's","Deployed AI-powered styling service that generates personalized outfit recommendations, creates virtual try-on experiences, and automates fashion trend analysis to optimize inventory and marketing.",Customer,Retail,https://www.macys.com/feature/style-crew
"Nordstrom","Implemented generative AI for luxury customer service, creating personalized shopping experiences, generating style guides, and providing AI-powered personal shopping assistance across online and in-store channels.",Customer,Retail,https://www.nordstrom.com/browse/customer-service
"Costco","Utilizing AI for bulk purchasing optimization, generating demand forecasts for warehouse inventory, and creating personalized membership benefits recommendations based on shopping patterns.",Customer,Retail,https://www.costco.com/member-services.html
"CVS Health","Deployed AI-powered pharmacy services including medication adherence reminders, drug interaction checking, and personalized health recommendations generated from prescription history and health data.",Customer,Retail,https://www.cvs.com/content/pharmacy-services
"Walgreens","Implemented generative AI for health and wellness recommendations, creating personalized medication schedules, generating health tips, and optimizing prescription fulfillment processes.",Customer,Retail,https://www.walgreens.com/topic/pharmacy/pharmacy-services.jsp
"Kroger","Utilizing Precision Commerce platform powered by AI to generate personalized grocery recommendations, optimize pricing strategies, and create targeted promotional campaigns based on shopping behavior analysis.",Customer,Retail,https://www.kroger.com/f/precision-commerce
"-Eleven","Deploying AI-powered convenience store optimization, generating inventory recommendations for micro-locations, creating personalized app experiences, and optimizing store layouts based on customer traffic patterns.",Employee,Retail,https://www.7-eleven.com/7rewards
"Starbucks","Enhanced My Starbucks Idea platform with generative AI to create personalized drink recommendations, optimize store operations through predictive analytics, and generate location-specific menu suggestions.",Customer,Retail,https://www.starbucks.com/rewards
"McDonald's","Implemented Dynamic Yield AI technology for personalized menu displays, drive-thru optimization, and generative AI for creating localized marketing campaigns and operational efficiency improvements.",Customer,Retail,https://corporate.mcdonalds.com/corpmcd/en-us/our-stories/article/ourstories.dynamic-yield.html
"Domino's","Utilizing AI for pizza order prediction, delivery route optimization, and generative AI chatbots for customer service that can handle complex orders, customize recommendations, and track deliveries.",Customer,Retail,https://biz.dominos.com/web/public/innovation
"eBay","Deployed generative AI for automatic listing creation, image enhancement, product description generation, and personalized search results to improve both seller and buyer experiences on the marketplace.",Customer,Retail,https://www.ebay.com/help/selling/listings/creating-managing-listings
"Etsy","Implementing AI-powered search and discovery tools, generating SEO-optimized product descriptions for sellers, creating personalized shopping recommendations, and enhancing handmade product categorization.",Customer,Retail,https://help.etsy.com/hc/en-us/articles/115015663447
"Alibaba","Leveraging AI across its ecosystem for automated customer service, dynamic pricing optimization, generative product recommendations, and creating personalized shopping experiences for global consumers.",Customer,Retail,https://www.alibabagroup.com/en/ir/innovation
"JD.com","Deploying AI-powered logistics optimization, automated warehouse management, generative customer service responses, and predictive analytics for inventory management across China's e-commerce ecosystem.",Employee,Retail,https://corporate.jd.com/technology
"Rakuten","Implementing generative AI for personalized loyalty program recommendations, automated content creation for merchants, and AI-powered fraud detection across its e-commerce and fintech services.",Customer,Retail,https://global.rakuten.com/corp/innovation
"Zalando","Utilizing AI fashion assistant for personalized style recommendations, generating size and fit advice, creating virtual styling sessions, and optimizing logistics for European fashion e-commerce.",Customer,Retail,https://corporate.zalando.com/en/technology
"ASOS","Deploying AI-powered visual search technology, generating personalized fashion content, creating trend predictions, and optimizing inventory management for fast fashion cycles.",Customer,Retail,https://www.asosplc.com/sustainability-and-ethics/our-products/tech-innovation
"H&M","Implementing AI for sustainable fashion initiatives, generating eco-friendly design suggestions, optimizing supply chain efficiency, and creating personalized sustainable shopping recommendations.",Creative,Retail,https://hmgroup.com/sustainability
"Netflix","Advanced personalized content recommendation system using generative AI to analyze viewing patterns, generate personalized trailers, create automated subtitles in multiple languages, and optimize content production decisions based on audience preferences.",Customer,Media,https://research.netflix.com/research-area/machine-learning
"Disney","Implementing AI across Disney+ platform for content personalization, generating automated dubbing and localization, creating virtual character interactions in theme parks, and optimizing animation production workflows using generative AI.",Customer,Media,https://www.disneyresearch.com/research-areas/artificial-intelligence
"Warner Bros. Discovery","Deploying AI for content optimization across HBO Max and Discovery+, generating personalized viewing recommendations, automating content tagging and metadata creation, and enhancing post-production workflows with AI-powered editing tools.",Creative,Media,https://wbd.com/newsroom/press-releases
"Paramount Global","Utilizing Paramount+ AI capabilities for content discovery, generating automated content summaries, creating personalized marketing campaigns, and optimizing advertising placement using audience behavior analysis.",Customer,Media,https://www.paramount.com/news
"Coursera","Deploying AI-powered course recommendations, generating personalized learning pathways, creating automated assignment grading, optimizing career guidance, and enhancing skills assessment through machine learning algorithms.",Customer,Education,https://about.coursera.org/press
"UK Government Digital Service","Deploying 'Humphrey' AI assistant across 20,000+ civil servants in 12 departments, providing document drafting assistance, automated research summaries, and productivity improvements averaging 26 minutes per user per day.",Employee,Other,https://www.gov.uk/government/organisations/government-digital-service
"US General Services Administration","Implementing 'GSAi' generative AI chatbot for 1,500 federal employees, providing automated document writing, regulation summarization, and basic coding assistance to streamline government operations.",Employee,Other,https://www.gsa.gov/about-us/newsroom
"McKinsey & Company","Deploying Lilli AI assistant for consultants, generating automated research summaries, creating intelligent client presentation drafts, optimizing knowledge management, and enhancing strategic analysis through generative AI tools.",Employee,Other,https://www.mckinsey.com/about-us/new-at-mckinsey
"Boston Consulting Group","Implementing BCG X AI capabilities, generating predictive business models, creating automated market analysis, optimizing client solution development, and enhancing digital transformation consulting through AI-powered insights.",Employee,Other,https://www.bcg.com/about/newsroom
"Amazon (Product Descriptions)","Использует GenAI для автоматического создания описаний товаров на основе характеристик продукта, создавая SEO-оптимизированный контент для миллионов товаров.",Creative,Retail,https://amazon.com
"Shopify Magic","Платформа предоставляет AI-инструменты для создания описаний продуктов, email-кампаний и контент-стратегий для малого и среднего бизнеса.",Customer,Retail,https://shopify.com
"Stitch Fix (Styling Algorithm)","Применяет машинное обучение и GenAI для создания персонализированных стилистических рекомендаций на основе предпочтений клиентов и трендов моды.",Customer,Retail,https://stitchfix.com
"IKEA Place AR","Интегрирует GenAI в AR-приложение для автоматической генерации дизайнерских предложений и планировки интерьера с мебелью IKEA.",Customer,Retail,https://ikea.com
"Zara AI Trend Forecasting","Использует GenAI для анализа социальных трендов, модных показов и потребительских предпочтений для быстрого создания новых коллекций.",Creative,Retail,https://zara.com
"Wayfair (Visual Search)","Применяет GenAI для улучшения визуального поиска, позволяя клиентам загружать фотографии и получать рекомендации похожих товаров.",Customer,Retail,https://wayfair.com
"Target (Dynamic Pricing)","Использует AI для динамического ценообразования и персонализированных промо-предложений в реальном времени.",Customer,Retail,https://target.com
"Walmart (Inventory Optimization)","Применяет GenAI для прогнозирования спроса, оптимизации запасов и автоматизации процессов пополнения товаров.",Employee,Retail,https://walmart.com
"Papa Johns (Pizza Recommendations)","Использует Google Cloud AI для создания персонализированных рекомендаций пиццы на основе предыдущих заказов и предпочтений клиентов.",Customer,Retail,https://papajohns.com
"Radisson (Multilingual Ad Generation)","Автоматически создает персонализированную рекламу на нескольких языках с использованием AI, увеличивая доходы и эффективность маркетинга.",Customer,Retail,https://radisson.com
"Netflix (Content Personalization)","Использует GenAI для создания персонализированных трейлеров, обложек фильмов и рекомендаций контента на основе индивидуальных предпочтений пользователей.",Customer,Media,https://netflix.com
"Spotify (AI Playlist Generation)","Создает персонализированные плейлисты и радиостанции на основе текстовых промптов пользователей, анализируя музыкальные предпочтения.",Customer,Media,https://spotify.com
"Adobe Firefly","Предоставляет инструменты GenAI для создания изображений, графики и видеоэффектов, интегрированные в Creative Cloud.",Creative,Media,https://adobe.com/firefly
"YouTube Studio (Auto-Generated Content)","Использует AI для автоматической генерации титров, превью видео и рекомендаций по оптимизации контента.",Employee,Media,https://youtube.com
"Warner Bros Discovery (Content Analysis)","Применяет GenAI для анализа сценариев, предсказания успешности контента и оптимизации производственных процессов.",Creative,Media,https://wbd.com
"Epic Games (Procedural Content)","Использует GenAI в Unreal Engine для процедурной генерации игрового контента, ландшафтов и персонажей.",Creative,Media,https://epicgames.com
"Disney+ (Viewing Optimization)","Применяет AI для персонализации интерфейса, рекомендаций контента и оптимизации качества стриминга.",Customer,Media,https://disneyplus.com
"Synthesia (Video Generation)","Платформа для создания AI-видео с виртуальными ведущими для корпоративного обучения и маркетинга.",Creative,Media,https://synthesia.io
"RunwayML (Creative Tools)","Предоставляет набор GenAI инструментов для создания видео, изображений и аудио контента для креативных профессионалов.",Creative,Media,https://runwayml.com
"TikTok (Content Moderation & Enhancement)","Использует GenAI для модерации контента, создания эффектов и персонализации алгоритма рекомендаций.",Customer,Media,https://tiktok.com
"Zendesk Answer Bot","AI-powered чатбот, который автоматически отвечает на повторяющиеся вопросы клиентов и направляет сложные запросы к специалистам.",Customer,Other,https://zendesk.com
"Salesforce Einstein GPT","Интегрированный GenAI для автоматизации customer service, создания персонализированных ответов и аналитики взаимодействий.",Customer,Other,https://salesforce.com
"Intercom Resolution Bot","Использует машинное обучение для автоматического решения до 67% обращений клиентов без участия человека.",Customer,Other,https://intercom.com
"Ada (Healthcare Chatbot)","AI-powered платформа для симптом-чекинга и предварительной медицинской консультации через разговорный интерфейс.",Customer,Other,https://ada.com
"LivePerson Conversational AI","Обеспечивает intelligent routing разговоров и автоматизированные ответы на основе намерений клиентов.",Customer,Other,https://liveperson.com
"Drift Conversational AI","Используется для lead qualification, booking встреч и автоматизации первичного взаимодействия с потенциальными клиентами.",Customer,Other,https://drift.com
"Freshworks Freddy AI","Интеллектуальный ассистент для службы поддержки с предиктивными возможностями и автоматизацией рутинных задач.",Customer,Other,https://freshworks.com
"Microsoft Virtual Agent","Встроенный в Teams и другие продукты Microsoft AI-агент для корпоративной поддержки и FAQ.",Customer,Other,https://microsoft.com
"ServiceNow Virtual Agent","Корпоративный AI-агент для автоматизации IT-поддержки, HR-запросов и внутренних процессов.",Customer,Other,https://servicenow.com
"Oracle Digital Assistant","Многоканальный AI-ассистент для автоматизации бизнес-процессов и клиентского сервиса в enterprise-среде.",Customer,Other,https://oracle.com
"Khan Academy (Khanmigo)","AI-тьютор, который предоставляет персонализированную помощь в обучении математике, программированию и другим предметам.",Customer,Education,https://khanacademy.org
"Coursera (AI Course Assistant)","Использует GenAI для создания персонализированных learning paths и автоматических оценок заданий.",Customer,Education,https://coursera.org
"Duolingo (Language Learning AI)","Применяет GenAI для создания персонализированных языковых упражнений и адаптации сложности под уровень ученика.",Customer,Education,https://duolingo.com
"Grammarly for Education","AI-powered инструмент для улучшения письма студентов с персонализированными рекомендациями и обратной связью.",Customer,Education,https://grammarly.com/edu
"Chegg Study AI","Предоставляет AI-объяснения сложных концепций, помощь с домашними заданиями и персонализированное обучение.",Customer,Education,https://chegg.com
"Pearson AI Tutoring","Интегрированные в учебные материалы AI-тьюторы для персонализированной поддержки студентов.",Customer,Education,https://pearson.com
"Carnegie Learning MATHia","AI-powered платформа для изучения математики с адаптивным обучением и детальной аналитикой прогресса.",Customer,Education,https://carnegielearning.com
"Squirrel AI (China)","Система адаптивного обучения, использующая GenAI для создания персонализированных учебных программ для K-12 образования.",Customer,Education,https://squirrelai.com
"Google Classroom AI","Интегрированные AI-инструменты для автоматизации оценок, создания заданий и анализа успеваемости.",Employee,Education,https://classroom.google.com
"Turnitin AI Detection","Использует GenAI для обнаружения AI-generated контента в студенческих работах и проверки на плагиат.",Data,Education,https://turnitin.com
"McDonald's (AI-Powered Drive-Thru)","Использует распознавание голоса и GenAI для автоматизации заказов в drive-thru, повышая скорость обслуживания.",Customer,Other,https://mcdonalds.com
"Domino's Pizza (Delivery Optimization)","Применяет AI для оптимизации маршрутов доставки, прогнозирования спроса и персонализации меню.",Customer,Other,https://dominos.com
"Coca-Cola (Flavor Innovation)","Использует GenAI для создания новых вкусов и анализа потребительских предпочтений в разных регионах.",Creative,Other,https://coca-cola.com
"Nestlé (Nutritional AI)","Разрабатывает AI-систему для создания персонализированных продуктов питания на основе индивидуальных потребностей в питании.",Customer,Other,https://nestle.com
"Blue Apron (Recipe Generation)","Использует GenAI для создания новых рецептов, оптимизации meal kits и персонализации доставки ингредиентов.",Customer,Other,https://blueapron.com
"Starbucks (Personalized Recommendations)","Deep Brew AI система анализирует предпочтения клиентов для персонализированных рекомендаций напитков и оптимизации меню.",Customer,Other,https://starbucks.com
"HelloFresh (Menu Planning)","Применяет GenAI для автоматического планирования еженедельных меню на основе диетических предпочтений и сезонности.",Customer,Other,https://hellofresh.com
"Kraft Heinz (Product Development)","Использует AI для разработки новых продуктов, анализа вкусовых профилей и оптимизации рецептур.",Creative,Other,https://kraftheinzcompany.com
"SaladStop! (Personalized Nutrition)","Развертывает GenAI на AWS для анализа предпочтений клиентов и создания персонализированных рекомендаций по питанию.",Customer,Other,https://saladstop.com
"Yuka (Food Scanning App)","AI-приложение для анализа состава продуктов питания и предоставления персонализированных рекомендаций по здоровому питанию.",Customer,Other,https://yuka.io
"Estonia e-Residency","Использует AI для автоматизации процессов цифрового резидентства, верификации документов и обеспечения цифровой безопасности.",Customer,Other,https://e-resident.gov.ee
"Singapore Smart Nation","Комплексная AI-инициатива для оптимизации городского планирования, транспорта и государственных услуг.",Employee,Other,https://smartnation.gov.sg
"UK Gov.UK Chatbot","AI-ассистент для помощи гражданам в навигации по государственным услугам и получении информации о льготах.",Customer,Other,https://gov.uk
"Dubai Government AI Strategy","Использует GenAI для автоматизации 50% государственных транзакций и улучшения качества обслуживания граждан.",Customer,Other,https://dubai.ae
"Canada Digital Services","Применяет AI для упрощения доступа к федеральным услугам и автоматизации обработки заявлений.",Customer,Other,https://digital.canada.ca
"India Digital Stack","AI-enhanced платформа для цифровых государственных услуг, включая верификацию личности и цифровые платежи.",Customer,Other,https://digitalindia.gov.in
"Australia myGov","AI-powered портал для доступа к государственным услугам с персонализированными рекомендациями и автоматизированной поддержкой.",Customer,Other,https://my.gov.au
"Germany ELSTER AI","Система для автоматизации налоговых деклараций с использованием GenAI для упрощения процесса подачи.",Customer,Other,https://elster.de
"South Korea AI Government","Национальная стратегия использования AI в государственном управлении для повышения эффективности и прозрачности.",Employee,Other,https://korea.kr
"Sweden Digital First","AI-инициатива для цифровизации государственных услуг с фокусом на пользовательский опыт и доступность.",Customer,Other,https://government.se
"Zillow (Zestimate AI)","Алгоритм автоматической оценки стоимости недвижимости на основе множества факторов и рыночных данных.",Data,RealEstate,https://zillow.com
"Redfin (AI-Powered Search)","Использует GenAI для персонализации поиска недвижимости и создания детализированных описаний объектов.",Customer,RealEstate,https://redfin.com
"Compass (AI Marketing)","Применяет GenAI для создания маркетинговых материалов недвижимости и автоматизации взаимодействия с клиентами.",Customer,RealEstate,https://compass.com
"Opendoor (Automated Offers)","AI-система для автоматической оценки домов и мгновенных предложений о покупке недвижимости.",Data,RealEstate,https://opendoor.com
"Matterport (3D Virtual Tours)","Использует AI для создания интерактивных 3D-туров по недвижимости и автоматического распознавания особенностей помещений.",Creative,RealEstate,https://matterport.com
"Procore (Construction Management)","AI-powered платформа для управления строительными проектами с прогнозированием задержек и оптимизацией ресурсов.",Employee,RealEstate,https://procore.com
"Autodesk Construction Cloud","Использует GenAI для автоматизации проектирования зданий, генерации чертежей и оптимизации строительных процессов.",Employee,RealEstate,https://autodesk.com
"PlanGrid (Field Management)","AI-инструменты для управления строительными планами, автоматического контроля качества и отслеживания прогресса.",Employee,RealEstate,https://plangrid.com
"BuiltWorlds (Market Intelligence)","AI-платформа для анализа строительного рынка, прогнозирования трендов и поиска деловых возможностей.",Data,RealEstate,https://builtworlds.com
"SmartRent (Property Management)","IoT и AI решения для автоматизации управления арендной недвижимостью и улучшения жильцовского опыта.",Customer,RealEstate,https://smartrent.com
"John Deere (Autonomous Farming)","AI-тракторы и комбайны с автоматизированной обработкой полей, посевом и сбором урожая.",Employee,Other,https://deere.com
"Bayer Crop Science (Field Monitoring)","Использует GenAI для анализа спутниковых данных, мониторинга состояния посевов и рекомендаций по применению удобрений.",Data,Other,https://bayer.com
"Climate Corporation (Weather Analytics)","AI-платформа для прогнозирования погоды, анализа климатических рисков и оптимизации сельскохозяйственных решений.",Data,Other,https://climate.com
"Indigo Agriculture (Microbiome)","Применяет GenAI для анализа микробиома почвы и разработки биологических решений для повышения урожайности.",Creative,Other,https://indigoag.com
"FarmLogs (Crop Management)","AI-система для управления посевами, отслеживания полевых работ и анализа экономической эффективности.",Employee,Other,https://farmlogs.com
"Granular (Field Analytics)","Использует машинное обучение для анализа производительности полей и оптимизации агрономических решений.",Data,Other,https://granular.ag
"Trimble Agriculture","AI-powered решения для точного земледелия, включая GPS-навигацию и автоматизированное управление техникой.",Employee,Other,https://agriculture.trimble.com
"AppHarvest (Controlled Environment)","Использует AI для оптимизации выращивания овощей в контролируемой среде и автоматизации тепличного хозяйства.",Employee,Other,https://appharvest.com
"aWhere (Agricultural Intelligence)","AI-платформа для агрометеорологической аналитики, прогнозирования урожайности и управления рисками.",Data,Other,https://awhere.com
"Prospera Technologies","Использует компьютерное зрение и GenAI для мониторинга состояния растений и автоматизации принятия решений в сельском хозяйстве.",Data,Other,https://prospera.ag
